query,psql opt (ms),psql exec (ms),psql total (ms)
1a,3.389,697.173,704.17
1b,3.317,887.107,892.343
1c,3.308,1044.943,1052.136
1d,3.318,896.833,902.053
2a,3.346,2251.054,2256.105
2b,3.467,2193.243,2199.659
2c,3.918,2135.048,2142.186
2d,4.78,2173.105,2178.292
3a,3.488,1867.345,1873.101
3b,3.258,1209.859,1215.399
3c,2.826,2279.711,2284.499
4a,3.235,845.241,850.272
4b,3.283,782.527,787.669
4c,3.283,953.35,958.536
5a,3.577,1454.471,1460.081
5b,3.555,1850.412,1855.997
5c,3.598,1976.176,1981.864
6a,3.42,8784.351,8789.552
6b,4.717,9337.188,9344.364
6c,5.038,9318.657,9326.307
6d,5.101,8788.11,8795.778
6e,4.916,8799.783,8807.072
6f,5.239,8763.606,8769.57
8a,13.728,2435.743,2451.636
8b,14.367,6563.596,6581.445
8c,11.21,5119.252,5137.212
8d,13.172,3727.418,3742.544
9a,15.952,2635.061,2653.226
9b,18.844,2826.496,2848.0
9c,15.517,3144.047,3163.635
9d,21.962,4439.559,4465.001
10a,12.48,2853.801,2868.218
10b,12.693,5476.811,5491.605
10c,11.744,5619.987,5633.94
17a,19.774,9865.21,9887.495
17b,15.515,4553.704,4571.559
17c,20.623,4448.013,4471.553
17d,14.08,4546.733,4562.345
17e,16.128,10493.959,10511.123
17f,13.768,9682.396,9704.12
18a,14.184,4208.184,4224.457
18b,15.442,8634.12,8651.569
18c,14.837,9094.344,9116.837
32a,6.083,1147.331,1154.944
32b,6.156,1446.068,1454.062
7a,21.658,8552.208,8580.47
7b,22.765,8831.149,8854.166
7c,18.206,10124.452,10145.076
11a,17.712,1248.612,1271.566
11b,15.335,853.957,879.808
11c,15.063,1163.703,1181.132
11d,20.297,2395.284,2414.516
12a,16.886,2023.222,2042.225
12b,17.468,2227.691,2248.545
12c,16.909,2806.325,2825.162
13a,18.13,2548.763,2568.97
13b,18.016,2076.294,2096.534
13c,18.033,2044.604,2067.8
13d,20.97,1942.682,1967.89
14a,20.15,3340.468,3358.76
14b,16.218,2275.429,2293.91
14c,16.331,2672.502,2691.02
15a,22.482,3767.569,3802.708
15b,21.981,2892.967,2927.402
15c,26.356,2352.545,2384.319
15d,21.292,2365.262,2389.002
16a,17.971,19278.167,19308.401
16b,22.324,21794.618,21820.569
16c,20.164,20422.143,20453.666
16d,22.931,18758.675,18780.684
19a,24.459,4201.728,4226.77
19b,22.656,10175.95,10200.817
19c,22.463,11411.242,11435.731
19d,20.938,4594.954,4626.551
20a,20.081,10392.708,10415.157
20b,20.05,9722.705,9744.963
20c,20.607,12343.369,12366.278
21a,25.19,2843.947,2869.731
21b,27.698,2446.768,2477.426
21c,23.87,2802.71,2835.21
22a,25.886,2750.548,2786.027
22b,26.225,2730.708,2759.272
22c,26.68,4485.571,4513.533
22d,25.319,3119.718,3146.989
23a,25.249,2321.772,2349.323
23b,25.364,1870.081,1897.457
23c,25.487,2354.209,2381.93
24a,31.278,5816.343,5848.152
24b,28.519,7617.072,7647.889
25a,22.098,14022.385,14048.934
25b,19.768,9372.097,9394.019
25c,22.891,10402.584,10427.591
26a,27.665,10830.188,10860.207
26b,27.94,8694.875,8725.321
26c,28.933,10702.959,10735.684
33a,38.632,2342.477,2381.38
33b,36.153,3253.418,3291.826
33c,40.548,2722.437,2761.266
27a,38.316,4288.659,4323.964
27b,32.424,3236.299,3271.267
27c,33.279,3934.534,3971.258
28a,35.857,2757.03,2796.561
28b,31.99,1613.053,1647.832
28c,34.846,3756.039,3793.477
29a,46.103,12058.783,12107.764
29b,47.174,9484.025,9540.921
29c,52.111,11256.522,11311.504
30a,36.134,12066.234,12107.917
30b,33.622,12048.524,12078.893
30c,34.889,10410.662,10448.709
31a,32.454,10625.715,10661.751
31b,26.897,7520.705,7552.518
31c,33.29,10655.848,10688.758
