query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
1a,0.51696,41337.0,215927.2,ct-mc t-mc mi_idx-mc it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1b,0.53872,334383.4,276174.4,it-mi_idx t-mi_idx mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1c,0.53128,9712.400000000001,71749.59999999999,ct-mc t-mc mi_idx-mc it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1d,0.53836,354538.4,276199.4,it-mi_idx t-mi_idx mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
2a,0.52051,880.2,1346975.2000000002,mk-k t-mk mc-mk cn-mc,INL-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t
2b,0.52682,880.2,1335447.2000000002,mk-k t-mk mc-mk cn-mc,INL-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t
2c,0.53785,697.6,1327598.8000000003,mk-k t-mk mc-mk cn-mc,INL-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn
2d,0.53491,880.2,1497538.8000000003,mk-k t-mk mc-mk cn-mc,INL-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t
3a,0.55394,906467.6000000001,948145.0,k-mk t-mk mi-mk,HJ-mk-k INL-t-k mk INL-mi-k mk t
3b,0.56108,2403.4,83184.40000000001,t-mi mk-t k-mk,INL-t-mi INL-mk-mi t HJ-mi mk t-k
3c,0.55022,907311.6000000001,959423.0,k-mk t-mk mi-mk,HJ-mk-k INL-t-k mk INL-mi-k mk t
4a,0.55163,1918.0,43624.4,it-mi_idx t-mi_idx mk-mi_idx k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
